ConductanceBubbleGraph 
t space sac/bip/ica g 
676 17.5 sac 2.39974e-08
677 17.5 sac 2.1711e-08
678 17.5 sac 1.96425e-08
679 17.5 sac 1.7771e-08
680 17.5 sac 1.60779e-08
681 17.5 sac 1.4546e-08
682 17.5 sac 1.31601e-08
683 17.5 sac 1.19063e-08
684 17.5 sac 1.07719e-08
685 17.5 sac 9.74562e-09
686 17.5 sac 8.81709e-09
687 17.5 sac 7.97704e-09
688 17.5 sac 7.21702e-09
689 17.5 sac 6.52941e-09
690 17.5 sac 5.90732e-09
691 17.5 sac 5.34449e-09
692 17.5 sac 4.83529e-09
693 17.5 sac 4.3746e-09
694 17.5 sac 3.95781e-09
695 17.5 sac 3.58073e-09
696 17.5 sac 3.23957e-09
697 17.5 sac 2.93092e-09
698 17.5 sac 2.65167e-09
699 17.5 sac 2.39903e-09
700 17.5 sac 2.17046e-09
701 17.5 sac 1.96367e-09
702 17.5 sac 1.77658e-09
703 17.5 sac 1.60731e-09
704 17.5 sac 1.45417e-09
705 17.5 sac 1.31563e-09
706 17.5 sac 1.19028e-09
707 17.5 sac 1.07687e-09
708 17.5 sac 9.74275e-10
709 17.5 sac 8.8145e-10
710 17.5 sac 7.97469e-10
711 17.5 sac 7.21489e-10
712 17.5 sac 6.52749e-10
713 17.5 sac 5.90558e-10
714 17.5 sac 5.34292e-10
715 17.5 sac 4.83387e-10
716 17.5 sac 4.37331e-10
717 17.5 sac 3.95664e-10
718 17.5 sac 3.57967e-10
719 17.5 sac 3.23861e-10
720 17.5 sac 2.93005e-10
721 17.5 sac 2.65089e-10
722 17.5 sac 2.39832e-10
723 17.5 sac 2.16982e-10
724 17.5 sac 1.96309e-10
725 17.5 sac 1.77605e-10
726 17.5 sac 1.60684e-10
727 17.5 sac 1.45375e-10
728 17.5 sac 1.31524e-10
729 17.5 sac 1.18993e-10
730 17.5 sac 1.07656e-10
731 17.5 sac 9.73987e-11
732 17.5 sac 8.8119e-11
733 17.5 sac 7.97234e-11
734 17.5 sac 7.21277e-11
735 17.5 sac 6.52556e-11
736 17.5 sac 5.90384e-11
737 17.5 sac 5.34134e-11
738 17.5 sac 4.83244e-11
739 17.5 sac 4.37203e-11
740 17.5 sac 3.95548e-11
741 17.5 sac 3.57862e-11
742 17.5 sac 3.23766e-11
743 17.5 sac 2.92919e-11
744 17.5 sac 2.65011e-11
745 17.5 sac 2.39762e-11
746 17.5 sac 2.16918e-11
747 17.5 sac 1.96251e-11
748 17.5 sac 1.77553e-11
749 17.5 sac 1.60637e-11
750 17.5 sac 1.45332e-11
751 17.5 sac 1.31485e-11
752 17.5 sac 1.18958e-11
753 17.5 sac 1.07624e-11
484 8.75 sac 1.48358
485 8.75 sac 2.43432
486 8.75 sac 2.98381
487 8.75 sac 3.25866
488 8.75 sac 3.34826
489 8.75 sac 3.31552
490 8.75 sac 3.20447
491 8.75 sac 3.04572
492 8.75 sac 2.86041
493 8.75 sac 2.66292
494 8.75 sac 2.4629
495 8.75 sac 2.26667
496 8.75 sac 2.0782
497 8.75 sac 1.89986
498 8.75 sac 1.73293
499 8.75 sac 1.57789
500 8.75 sac 1.43476
